OBJECTID_1,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_82,VALUE_90,VALUE_95
11,633600.000000000000000,2161800.000000000000000,821700.000000000000000,327600.000000000000000,73800.000000000000000,1179900.000000000000000,22809600.000000000000000,46224000.000000000000000,7876800.000000000000000,7221600.000000000000000,8494200.000000000000000,1837800.000000000000000,0.000000000000000,383400.000000000000000,54000.000000000000000
12,7686000.000000000000000,5108400.000000000000000,1441800.000000000000000,540900.000000000000000,123300.000000000000000,73800.000000000000000,32254200.000000000000000,17217000.000000000000000,7748100.000000000000000,1943100.000000000000000,2070900.000000000000000,23091300.000000000000000,0.000000000000000,299700.000000000000000,201600.000000000000000
13,1251900.000000000000000,13757400.000000000000000,11843100.000000000000000,8598600.000000000000000,2624400.000000000000000,630000.000000000000000,17567100.000000000000000,5347800.000000000000000,17190000.000000000000000,2097900.000000000000000,2216700.000000000000000,7378200.000000000000000,1629900.000000000000000,6835500.000000000000000,831600.000000000000000
14,415800.000000000000000,3616200.000000000000000,832500.000000000000000,328500.000000000000000,39600.000000000000000,54000.000000000000000,25954200.000000000000000,20842200.000000000000000,19322100.000000000000000,2421000.000000000000000,3804300.000000000000000,16262100.000000000000000,838800.000000000000000,4952700.000000000000000,116100.000000000000000
15,385200.000000000000000,1467900.000000000000000,543600.000000000000000,382500.000000000000000,145800.000000000000000,4746600.000000000000000,32002200.000000000000000,40297500.000000000000000,11610900.000000000000000,2046600.000000000000000,4128300.000000000000000,1175400.000000000000000,0.000000000000000,838800.000000000000000,28800.000000000000000
16,1838700.000000000000000,3344400.000000000000000,1181700.000000000000000,244800.000000000000000,83700.000000000000000,24300.000000000000000,46638000.000000000000000,12827700.000000000000000,9839700.000000000000000,4272300.000000000000000,3038400.000000000000000,15269400.000000000000000,182700.000000000000000,901800.000000000000000,112500.000000000000000
17,252000.000000000000000,1674900.000000000000000,790200.000000000000000,105300.000000000000000,8100.000000000000000,25200.000000000000000,57603600.000000000000000,15225300.000000000000000,6966000.000000000000000,3203100.000000000000000,1098000.000000000000000,12111300.000000000000000,0.000000000000000,723600.000000000000000,13500.000000000000000
18,309600.000000000000000,5042700.000000000000000,2009700.000000000000000,513000.000000000000000,114300.000000000000000,176400.000000000000000,40284900.000000000000000,5483700.000000000000000,8502300.000000000000000,1695600.000000000000000,2061900.000000000000000,30954600.000000000000000,2653200.000000000000000,279900.000000000000000,18000.000000000000000
19,4500.000000000000000,114300.000000000000000,9000.000000000000000,900.000000000000000,0.000000000000000,0.000000000000000,5293800.000000000000000,4547700.000000000000000,789300.000000000000000,1205100.000000000000000,2071800.000000000000000,5400.000000000000000,0.000000000000000,102600.000000000000000,900.000000000000000
20,402300.000000000000000,13265100.000000000000000,17385300.000000000000000,6671700.000000000000000,4165200.000000000000000,123300.000000000000000,9051300.000000000000000,3153600.000000000000000,8539200.000000000000000,1206000.000000000000000,1297800.000000000000000,32036400.000000000000000,2592900.000000000000000,122400.000000000000000,87300.000000000000000
21,952200.000000000000000,4887900.000000000000000,3238200.000000000000000,833400.000000000000000,208800.000000000000000,178200.000000000000000,28073700.000000000000000,11440800.000000000000000,9439200.000000000000000,3125700.000000000000000,2861100.000000000000000,33136200.000000000000000,694800.000000000000000,774900.000000000000000,254700.000000000000000
22,7458300.000000000000000,1656000.000000000000000,712800.000000000000000,126000.000000000000000,12600.000000000000000,296100.000000000000000,1601100.000000000000000,12672000.000000000000000,6318000.000000000000000,2663100.000000000000000,2344500.000000000000000,37502100.000000000000000,8420400.000000000000000,16387200.000000000000000,2230200.000000000000000
23,644400.000000000000000,3371400.000000000000000,930600.000000000000000,164700.000000000000000,8100.000000000000000,90000.000000000000000,31085100.000000000000000,23571900.000000000000000,9306000.000000000000000,2573100.000000000000000,3668400.000000000000000,19045800.000000000000000,351000.000000000000000,4750200.000000000000000,239400.000000000000000
24,12600.000000000000000,3019500.000000000000000,325800.000000000000000,19800.000000000000000,0.000000000000000,0.000000000000000,18746100.000000000000000,33797700.000000000000000,19314000.000000000000000,3039300.000000000000000,4191300.000000000000000,1722600.000000000000000,359100.000000000000000,15291900.000000000000000,260100.000000000000000
25,729900.000000000000000,7326900.000000000000000,5496300.000000000000000,1811700.000000000000000,503100.000000000000000,87300.000000000000000,17708400.000000000000000,4555800.000000000000000,11069100.000000000000000,999000.000000000000000,940500.000000000000000,43600500.000000000000000,3018600.000000000000000,2016000.000000000000000,236700.000000000000000
26,96300.000000000000000,2239200.000000000000000,385200.000000000000000,81000.000000000000000,17100.000000000000000,1800.000000000000000,43471800.000000000000000,26946900.000000000000000,16279200.000000000000000,2730600.000000000000000,2211300.000000000000000,5290200.000000000000000,0.000000000000000,326700.000000000000000,22500.000000000000000
27,335700.000000000000000,2116800.000000000000000,659700.000000000000000,168300.000000000000000,9900.000000000000000,36900.000000000000000,32370300.000000000000000,36971100.000000000000000,5381100.000000000000000,5962500.000000000000000,12124800.000000000000000,2534400.000000000000000,0.000000000000000,1413000.000000000000000,15300.000000000000000
28,550800.000000000000000,2412000.000000000000000,776700.000000000000000,229500.000000000000000,81900.000000000000000,2385000.000000000000000,25098300.000000000000000,42192900.000000000000000,9582300.000000000000000,7488900.000000000000000,6925500.000000000000000,651600.000000000000000,0.000000000000000,1349100.000000000000000,75600.000000000000000
29,332100.000000000000000,2186100.000000000000000,259200.000000000000000,48600.000000000000000,4500.000000000000000,10800.000000000000000,6569100.000000000000000,27603900.000000000000000,6703200.000000000000000,2265300.000000000000000,1078200.000000000000000,5092200.000000000000000,0.000000000000000,27370800.000000000000000,648900.000000000000000
30,221400.000000000000000,6453000.000000000000000,4188600.000000000000000,1863900.000000000000000,436500.000000000000000,222300.000000000000000,34427700.000000000000000,14130000.000000000000000,11471400.000000000000000,4492800.000000000000000,4892400.000000000000000,11898000.000000000000000,1223100.000000000000000,3957300.000000000000000,221400.000000000000000
31,515700.000000000000000,5796900.000000000000000,2594700.000000000000000,1407600.000000000000000,423000.000000000000000,414000.000000000000000,22642200.000000000000000,36498600.000000000000000,7572600.000000000000000,4819500.000000000000000,9571500.000000000000000,5566500.000000000000000,0.000000000000000,2039400.000000000000000,237600.000000000000000
32,220500.000000000000000,2800800.000000000000000,1127700.000000000000000,812700.000000000000000,217800.000000000000000,129600.000000000000000,23805900.000000000000000,14652900.000000000000000,9564300.000000000000000,3566700.000000000000000,3154500.000000000000000,5271300.000000000000000,3067200.000000000000000,1951200.000000000000000,162000.000000000000000
33,12618900.000000000000000,4792500.000000000000000,1277100.000000000000000,299700.000000000000000,22500.000000000000000,241200.000000000000000,28964700.000000000000000,33266700.000000000000000,7261200.000000000000000,1505700.000000000000000,3118500.000000000000000,5824800.000000000000000,0.000000000000000,325800.000000000000000,280800.000000000000000
34,285300.000000000000000,5730300.000000000000000,1981800.000000000000000,525600.000000000000000,73800.000000000000000,11700.000000000000000,13627800.000000000000000,1673100.000000000000000,2088900.000000000000000,968400.000000000000000,515700.000000000000000,45824400.000000000000000,21027600.000000000000000,5075100.000000000000000,390600.000000000000000
35,2700000.000000000000000,3284100.000000000000000,1105200.000000000000000,205200.000000000000000,14400.000000000000000,103500.000000000000000,43704900.000000000000000,17290800.000000000000000,7751700.000000000000000,8016300.000000000000000,3413700.000000000000000,10916100.000000000000000,0.000000000000000,1456200.000000000000000,137700.000000000000000
36,21600.000000000000000,232200.000000000000000,180000.000000000000000,33300.000000000000000,900.000000000000000,0.000000000000000,80100.000000000000000,306000.000000000000000,279000.000000000000000,47700.000000000000000,18900.000000000000000,6965100.000000000000000,3356100.000000000000000,725400.000000000000000,27000.000000000000000
37,540000.000000000000000,7988400.000000000000000,1703700.000000000000000,582300.000000000000000,118800.000000000000000,354600.000000000000000,21459600.000000000000000,13039200.000000000000000,5943600.000000000000000,2968200.000000000000000,5421600.000000000000000,28442700.000000000000000,8780400.000000000000000,2244600.000000000000000,212400.000000000000000
38,220500.000000000000000,1976400.000000000000000,484200.000000000000000,202500.000000000000000,30600.000000000000000,221400.000000000000000,11385900.000000000000000,10713600.000000000000000,2920500.000000000000000,4023900.000000000000000,3754800.000000000000000,3307500.000000000000000,0.000000000000000,1136700.000000000000000,18000.000000000000000
