Station,Camera,gps_y,gps_x,Setup_date,Retrieval_date
S_L68_Y2,1611,30.950991,-87.866681,2024-01-13,2024-01-20
S_L69_Y2,1612,30.951554,-87.866847,2024-01-06,2024-01-13
S_L69_Y2,1613,30.951554,-87.866847,2024-01-13,2024-01-20
S_L6_Y2,1498,30.679287,-87.430030,2024-01-07,2024-01-14
S_L6_Y2,1499,30.679287,-87.430030,2024-01-14,2024-01-21
S_L70_Y2,1614,30.952056,-87.866646,2024-01-06,2024-01-13
S_L70_Y2,1615,30.952056,-87.866646,2024-01-13,2024-01-20
S_L71_Y2,1616,30.952730,-87.866776,2024-01-06,2024-01-13
S_L71_Y2,1617,30.952730,-87.866776,2024-01-13,2024-01-20
S_L72_Y2,1618,30.953281,-87.866869,2024-01-06,2024-01-13
S_L72_Y2,1619,30.953281,-87.866869,2024-01-13,2024-01-20
S_L7_Y2,1500,30.676492,-87.424657,2024-01-14,2024-01-21
S_L8_Y2,1501,30.677043,-87.424684,2024-01-07,2024-01-14
S_L9_Y2,1502,30.677615,-87.424707,2024-01-14,2024-01-21
S_U10_Y2,1392,30.453108,-87.470349,2024-01-07,2024-01-14
S_U11_Y2,1393,30.453713,-87.470423,2024-01-07,2024-01-14
S_U11_Y2,1394,30.453713,-87.470423,2024-01-14,2024-01-21
S_U12_Y2,1395,30.454269,-87.470364,2024-01-07,2024-01-14
S_U12_Y2,1396,30.454269,-87.470364,2024-01-14,2024-01-21
S_U13_Y2,1397,30.457177,-87.478223,2024-01-07,2024-01-14
S_U13_Y2,1398,30.457177,-87.478223,2024-01-14,2024-01-21
S_U14_Y2,1399,30.457671,-87.478113,2024-01-07,2024-01-14
S_U15_Y2,1400,30.458285,-87.478112,2024-01-07,2024-01-14
S_U15_Y2,1401,30.458285,-87.478112,2024-01-14,2024-01-21
S_U16_Y2,1402,30.458932,-87.478151,2024-01-07,2024-01-14
S_U16_Y2,1403,30.458932,-87.478151,2024-01-14,2024-01-21
S_U17_Y2,1404,30.459418,-87.478165,2024-01-07,2024-01-14
S_U18_Y2,1405,30.460043,-87.478169,2024-01-07,2024-01-14
S_U18_Y2,1406,30.460043,-87.478169,2024-01-14,2024-01-21
S_U19_Y2,1407,30.457188,-87.473031,2024-01-07,2024-01-14
S_U19_Y2,1408,30.457188,-87.473031,2024-01-14,2024-01-21
S_U1_Y2,1374,30.451429,-87.475541,2024-01-07,2024-01-14
S_U1_Y2,1375,30.451429,-87.475541,2024-01-14,2024-01-21
S_U20_Y2,1409,30.457825,-87.473057,2024-01-14,2024-01-21
S_U21_Y2,1410,30.458378,-87.473034,2024-01-07,2024-01-14
S_U21_Y2,1411,30.458378,-87.473034,2024-01-14,2024-01-21
S_U22_Y2,1412,30.458926,-87.473001,2024-01-14,2024-01-21
S_U23_Y2,1413,30.459576,-87.473046,2024-01-07,2024-01-14
S_U23_Y2,1414,30.459576,-87.473046,2024-01-14,2024-01-21
S_U24_Y2,1415,30.460040,-87.473046,2024-01-07,2024-01-14
S_U24_Y2,1416,30.460040,-87.473046,2024-01-14,2024-01-21
S_U25_Y2,1417,31.026555,-87.671561,2024-01-06,2024-01-13
S_U25_Y2,1418,31.026555,-87.671561,2024-01-13,2024-01-20
S_U26_Y2,1419,31.027104,-87.671529,2024-01-06,2024-01-13
S_U27_Y2,1420,31.027708,-87.671481,2024-01-06,2024-01-13
S_U27_Y2,1421,31.027708,-87.671481,2024-01-13,2024-01-21
S_U28_Y2,1422,31.028249,-87.671526,2024-01-06,2024-01-13
S_U28_Y2,1423,31.028249,-87.671526,2024-01-13,2024-01-20
S_U29_Y2,1424,31.028938,-87.671313,2024-01-06,2024-01-13
S_U2_Y2,1376,30.451929,-87.475491,2024-01-07,2024-01-14
S_U2_Y2,1377,30.451929,-87.475491,2024-01-14,2024-01-21
S_U30_Y2,1425,31.028938,-87.671524,2024-01-06,2024-01-13
S_U30_Y2,1426,31.028938,-87.671524,2024-01-13,2024-01-20
S_U32_Y2,1427,31.027174,-87.666236,2024-01-06,2024-01-13
S_U32_Y2,1428,31.027174,-87.666236,2024-01-13,2024-01-20
S_U33_Y2,1429,31.027750,-87.666274,2024-01-13,2024-01-20
S_U34_Y2,1430,31.028379,-87.666314,2024-01-06,2024-01-13
S_U35_Y2,1431,31.029007,-87.666180,2024-01-06,2024-01-13
S_U35_Y2,1432,31.029007,-87.666180,2024-01-13,2024-01-20
S_U36_Y2,1433,31.026578,-87.666258,2024-01-06,2024-01-13
S_U36_Y2,1434,31.026578,-87.666258,2024-01-13,2024-01-20
S_U38_Y2,1435,30.459308,-87.464400,2024-01-14,2024-01-21
S_U39_Y2,1436,30.459918,-87.464354,2024-01-14,2024-01-21
S_U3_Y2,1378,30.452526,-87.475529,2024-01-07,2024-01-14
S_U3_Y2,1379,30.452526,-87.475529,2024-01-14,2024-01-21
S_U40_Y2,1437,30.460678,-87.464289,2024-01-07,2024-01-14
S_U40_Y2,1438,30.460678,-87.464289,2024-01-14,2024-01-21
S_U41_Y2,1439,30.461157,-87.464406,2024-01-07,2024-01-14
S_U41_Y2,1440,30.461157,-87.464406,2024-01-14,2024-01-21
S_U42_Y2,1441,30.461738,-87.464262,2024-01-07,2024-01-14
S_U42_Y2,1442,30.461738,-87.464262,2024-01-14,2024-01-21
S_U43_Y2,1443,30.458823,-87.459095,2024-01-07,2024-01-14
S_U43_Y2,1444,30.458823,-87.459095,2024-01-14,2024-01-21
S_U44_Y2,1445,30.459436,-87.459163,2024-01-07,2024-01-14
S_U45_Y2,1446,30.460033,-87.459182,2024-01-07,2024-01-14
S_U45_Y2,1447,30.460033,-87.459182,2024-01-14,2024-01-21
S_U46_Y2,1448,30.460543,-87.459190,2024-01-07,2024-01-14
S_U46_Y2,1449,30.460543,-87.459190,2024-01-14,2024-01-21
S_U47_Y2,1450,30.461153,-87.459189,2024-01-07,2024-01-14
S_U47_Y2,1451,30.461153,-87.459189,2024-01-14,2024-01-21
S_U48_Y2,1452,30.461722,-87.459108,2024-01-07,2024-01-14
S_U48_Y2,1453,30.461722,-87.459108,2024-01-14,2024-01-21
S_U49_Y2,1454,30.682279,-87.436764,2024-01-07,2024-01-14
S_U4_Y2,1380,30.453062,-87.475596,2024-01-07,2024-01-14
S_U4_Y2,1381,30.453062,-87.475596,2024-01-14,2024-01-21
S_U50_Y2,1455,30.682910,-87.436657,2024-01-07,2024-01-14
S_U50_Y2,1456,30.682910,-87.436657,2024-01-14,2024-01-21
S_U51_Y2,1457,30.683465,-87.436743,2024-01-07,2024-01-14
S_U51_Y2,1458,30.683465,-87.436743,2024-01-14,2024-01-21
S_U52_Y2,1459,30.683939,-87.436657,2024-01-07,2024-01-14
S_U52_Y2,1460,30.683939,-87.436657,2024-01-14,2024-01-21
S_U53_Y2,1462,30.684513,-87.436441,2024-01-14,2024-01-21
S_U54_Y2,1463,30.685151,-87.436648,2024-01-07,2024-01-14
S_U54_Y2,1464,30.685151,-87.436648,2024-01-14,2024-01-21
S_U55_Y2,1465,30.682206,-87.431459,2024-01-07,2024-01-14
S_U55_Y2,1466,30.682206,-87.431459,2024-01-14,2024-01-21
S_U56_Y2,1467,30.683129,-87.431686,2024-01-14,2024-01-21
S_U59_Y2,1469,30.684605,-87.431701,2024-01-07,2024-01-14
S_U5_Y2,1382,30.453062,-87.475596,2024-01-07,2024-01-14
S_U5_Y2,1383,30.453062,-87.475596,2024-01-14,2024-01-21
S_U60_Y2,1470,30.685188,-87.431701,2024-01-07,2024-01-14
S_U60_Y2,1471,30.685188,-87.431701,2024-01-14,2024-01-21
S_U61_Y2,1472,30.666121,-87.451073,2024-01-07,2024-01-14
S_U61_Y2,1473,30.666121,-87.451073,2024-01-14,2024-01-21
S_U62_Y2,1474,30.666796,-87.451144,2024-01-07,2024-01-14
S_U62_Y2,1475,30.666796,-87.451144,2024-01-14,2024-01-21
S_U63_Y2,1476,30.667319,-87.451116,2024-01-07,2024-01-14
S_U63_Y2,1477,30.667319,-87.451116,2024-01-14,2024-01-21
S_U64_Y2,1478,30.667940,-87.451172,2024-01-07,2024-01-14
S_U64_Y2,1479,30.667940,-87.451172,2024-01-14,2024-01-21
S_U65_Y2,1480,30.668467,-87.451147,2024-01-07,2024-01-14
S_U65_Y2,1481,30.668467,-87.451147,2024-01-14,2024-01-21
S_U66_Y2,1482,30.669063,-87.451114,2024-01-07,2024-01-14
S_U66_Y2,1483,30.669063,-87.451114,2024-01-14,2024-01-21
S_U67_Y2,1484,30.666103,-87.445847,2024-01-07,2024-01-14
S_U68_Y2,1485,30.666824,-87.445860,2024-01-07,2024-01-14
S_U68_Y2,1486,30.666824,-87.445860,2024-01-14,2024-01-21
S_U69_Y2,1487,30.667328,-87.445921,2024-01-07,2024-01-14
S_U69_Y2,1488,30.667328,-87.445921,2024-01-14,2024-01-21
S_U6_Y2,1384,30.454213,-87.475608,2024-01-07,2024-01-14
S_U6_Y2,1385,30.454213,-87.475608,2024-01-14,2024-01-21
S_U71_Y2,1489,30.668546,-87.445828,2024-01-07,2024-01-14
S_U71_Y2,1490,30.668546,-87.445828,2024-01-14,2024-01-21
S_U72_Y2,1491,30.669074,-87.445874,2024-01-07,2024-01-14
S_U72_Y2,1492,30.669074,-87.445874,2024-01-14,2024-01-21
S_U7_Y2,1386,30.451458,-87.470359,2024-01-07,2024-01-14
S_U7_Y2,1387,30.451458,-87.470359,2024-01-14,2024-01-21
S_U8_Y2,1388,30.451458,-87.470359,2024-01-07,2024-01-14
S_U8_Y2,1389,30.451458,-87.470359,2024-01-14,2024-01-21
S_U9_Y2,1390,30.452533,-87.470231,2024-01-07,2024-01-14
S_U9_Y2,1391,30.452533,-87.470231,2024-01-14,2024-01-21
